location,chamber,surface_type,trigger,current_copy,defect,replacement,status,verification_result
macos/Sources/Atrium/Views/CompanyHub/PeopleView.swift:52,user,native application,rendered or emitted by the containing control or operation,Focus this week,None after audit.,Focus this week,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchEverythingView.swift:18,user,native application,rendered or emitted by the containing control or operation,Search everything,None after audit.,Search everything,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchEverythingView.swift:19,user,native application,rendered or emitted by the containing control or operation,"One search across your meetings, the shared hub, people, and agent runs.",None after audit.,"One search across your meetings, the shared hub, people, and agent runs.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchEverythingView.swift:38,user,native application,rendered or emitted by the containing control or operation,Search covers your local workspace plus items shared to the hub. Nothing local is exposed to others.,None after audit.,Search covers your local workspace plus items shared to the hub. Nothing local is exposed to others.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchEverythingView.swift:51,user,native application,rendered or emitted by the containing control or operation,No results,None after audit.,No results,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchEverythingView.swift:51,user,native application,rendered or emitted by the containing control or operation,Search the workspace and the hub,None after audit.,Search the workspace and the hub,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchEverythingView.swift:56,user,native application,rendered or emitted by the containing control or operation,"Type a question or a phrase. Results group by meetings, shared context, people, and agent runs.",None after audit.,"Type a question or a phrase. Results group by meetings, shared context, people, and agent runs.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchEverythingView.swift:58,user,native application,rendered or emitted by the containing control or operation,"Nothing matched. The Company Hub is not connected, so only your local workspace can match.",None after audit.,"Nothing matched. The Company Hub is not connected, so only your local workspace can match.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchEverythingView.swift:66,user,native application,rendered or emitted by the containing control or operation,Search everything,None after audit.,Search everything,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchEverythingView.swift:71,user,native application,rendered or emitted by the containing control or operation,⇧⌘K,None after audit.,⇧⌘K,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SearchResultGroup.swift:17,user,native application,rendered or emitted by the containing control or operation,^[\(group.results.count) result](inflect: true),None after audit.,^[\(group.results.count) result](inflect: true),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:17,user,native application,rendered or emitted by the containing control or operation,Shared Context,None after audit.,Shared Context,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:18,user,native application,rendered or emitted by the containing control or operation,"Meetings, notes, and agent output the team chose to share — the company's working memory.",None after audit.,"Meetings, notes, and agent output the team chose to share — the company's working memory.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:20,user,native application,rendered or emitted by the containing control or operation,Share from my workspace,None after audit.,Share from my workspace,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:24,user,native application,rendered or emitted by the containing control or operation,Connect the Company Hub to share items.,None after audit.,Connect the Company Hub to share items.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:31,user,native application,rendered or emitted by the containing control or operation,Nothing shared,None after audit.,Nothing shared,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:33,user,native application,rendered or emitted by the containing control or operation,"Items the team shares from their own Macs appear here, with who shared them and when.",None after audit.,"Items the team shares from their own Macs appear here, with who shared them and when.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:41,user,native application,rendered or emitted by the containing control or operation,"Sharing is always a per-item choice by its owner, and can be withdrawn at any time.",None after audit.,"Sharing is always a per-item choice by its owner, and can be withdrawn at any time.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:49,user,native application,rendered or emitted by the containing control or operation,Shared Context,None after audit.,Shared Context,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:62,user,native application,rendered or emitted by the containing control or operation,Filter shared items,None after audit.,Filter shared items,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedContextView.swift:68,user,native application,rendered or emitted by the containing control or operation,Shared by,None after audit.,Shared by,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedTodayPanel.swift:11,user,native application,rendered or emitted by the containing control or operation,Shared today,None after audit.,Shared today,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedTodayPanel.swift:12,user,native application,rendered or emitted by the containing control or operation,Open Shared Context,None after audit.,Open Shared Context,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedTodayPanel.swift:19,user,native application,rendered or emitted by the containing control or operation,Nothing shared today,None after audit.,Nothing shared today,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedTodayPanel.swift:21,user,native application,rendered or emitted by the containing control or operation,"Meetings, notes, and agent output the team shares appear here.",None after audit.,"Meetings, notes, and agent output the team shares appear here.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/SharedTodayRow.swift:4,user,native application,rendered or emitted by the containing control or operation,Shared today,None after audit.,Shared today,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/ContentView.swift:157,user,native application,rendered or emitted by the containing control or operation,Atrium needs attention,None after audit.,Atrium needs attention,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:111,user,native application,rendered or emitted by the containing control or operation,Preparing microphone,None after audit.,Preparing microphone,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:114,user,native application,rendered or emitted by the containing control or operation,Transcribing on this Mac,None after audit.,Transcribing on this Mac,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:126,user,native application,rendered or emitted by the containing control or operation,Selected microphone,None after audit.,Selected microphone,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:126,user,native application,rendered or emitted by the containing control or operation,System default,None after audit.,System default,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:130,user,native application,rendered or emitted by the containing control or operation,On this Mac,None after audit.,On this Mac,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:135,user,native application,rendered or emitted by the containing control or operation,Listening…,None after audit.,Listening…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:136,user,native application,rendered or emitted by the containing control or operation,Preparing…,None after audit.,Preparing…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:137,user,native application,rendered or emitted by the containing control or operation,Transcribing…,None after audit.,Transcribing…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:138,user,native application,rendered or emitted by the containing control or operation,Ready when you are,None after audit.,Ready when you are,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:15,user,native application,rendered or emitted by the containing control or operation,Local Dictation,None after audit.,Local Dictation,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:16,user,native application,rendered or emitted by the containing control or operation,"Speak into any app, transcribe on this Mac, and keep the latest result ready to reuse.",None after audit.,"Speak into any app, transcribe on this Mac, and keep the latest result ready to reuse.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:19,user,native application,rendered or emitted by the containing control or operation,On-device speech,None after audit.,On-device speech,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:43,user,native application,rendered or emitted by the containing control or operation,Latest result,None after audit.,Latest result,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:54,user,native application,rendered or emitted by the containing control or operation,No dictation yet,None after audit.,No dictation yet,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:56,user,native application,rendered or emitted by the containing control or operation,Use the global shortcut or start dictation above. Your result will appear here.,None after audit.,Use the global shortcut or start dictation above. Your result will appear here.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:70,user,native application,rendered or emitted by the containing control or operation,Speech is processed on this device. Dictation audio is not retained after transcription.,None after audit.,Speech is processed on this device. Dictation audio is not retained after transcription.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:93,user,native application,rendered or emitted by the containing control or operation,"Hold \(shortcut) anywhere, or use the control below.",None after audit.,"Hold \(shortcut) anywhere, or use the control below.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:96,user,native application,rendered or emitted by the containing control or operation,Start Dictation,None after audit.,Start Dictation,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/DictationView.swift:96,user,native application,rendered or emitted by the containing control or operation,Stop Dictation,None after audit.,Stop Dictation,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeAttentionPanel.swift:13,user,native application,rendered or emitted by the containing control or operation,Needs your attention,None after audit.,Needs your attention,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeCaptureView.swift:13,user,native application,rendered or emitted by the containing control or operation,On-device by default,None after audit.,On-device by default,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeCaptureView.swift:18,user,native application,rendered or emitted by the containing control or operation,Import Audio,None after audit.,Import Audio,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeCaptureView.swift:58,user,native application,rendered or emitted by the containing control or operation,Atrium could not open the selected audio. Choose another file and try again.,None after audit.,Atrium could not open the selected audio. Choose another file and try again.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeGreetingHeader.swift:35,user,native application,rendered or emitted by the containing control or operation,Good morning,None after audit.,Good morning,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeGreetingHeader.swift:36,user,native application,rendered or emitted by the containing control or operation,Good afternoon,None after audit.,Good afternoon,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeGreetingHeader.swift:37,user,native application,rendered or emitted by the containing control or operation,Good evening,None after audit.,Good evening,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeGreetingHeader.swift:43,user,native application,rendered or emitted by the containing control or operation,"\(part), \(firstName)",None after audit.,"\(part), \(firstName)",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeGreetingHeader.swift:48,user,native application,rendered or emitted by the containing control or operation,\(today) · what changed across \(theme.title) today,None after audit.,\(today) · what changed across \(theme.title) today,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomePeoplePanel.swift:18,user,native application,rendered or emitted by the containing control or operation,All people,None after audit.,All people,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeRecentMeetingsPanel.swift:14,user,native application,rendered or emitted by the containing control or operation,Recent meetings,None after audit.,Recent meetings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeRecentMeetingsPanel.swift:15,user,native application,rendered or emitted by the containing control or operation,All meetings,None after audit.,All meetings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeRecentMeetingsPanel.swift:23,user,native application,rendered or emitted by the containing control or operation,No meetings yet,None after audit.,No meetings yet,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeRecentMeetingsPanel.swift:25,user,native application,rendered or emitted by the containing control or operation,Start a recording or import audio to build your local workspace.,None after audit.,Start a recording or import audio to build your local workspace.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeSearchResultsPanel.swift:10,user,native application,rendered or emitted by the containing control or operation,Search results,None after audit.,Search results,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeView.swift,user,home,home opens,"Capture, review, recall, and write | Recall cited evidence | retrieval | External AI is always explicit",Abstract or technical language obscured the actual safeguard.,"Record, review, ask, and dictate | Get cited answers | searches | Atrium asks before sending anything outside this Mac",verified,Replacement present in source; warnings-as-errors suite passed. Default Home and Ask insufficient-evidence states were inspected in the native app where applicable.
macos/Sources/Atrium/Views/Home/HomeView.swift:35,user,native application,rendered or emitted by the containing control or operation,"Recordings, transcripts, notes, searches, and citations stay on this Mac. You choose for each meeting what reaches the Company Hub.",None after audit.,"Recordings, transcripts, notes, searches, and citations stay on this Mac. You choose for each meeting what reaches the Company Hub.",verified,Observed in the rebuilt native Home interface and compiled by the full test suite.
macos/Sources/Atrium/Views/Home/HomeView.swift:80,user,native application,rendered or emitted by the containing control or operation,No company activity,None after audit.,No company activity,verified,Observed in the rebuilt native Home interface and compiled by the full test suite.
macos/Sources/Atrium/Views/Home/HomeView.swift:82,user,native application,rendered or emitted by the containing control or operation,"Agents, people, and shared items from Ubundi and First Motive appear here.",None after audit.,"Agents, people, and shared items from Ubundi and First Motive appear here.",verified,Observed in the rebuilt native Home interface and compiled by the full test suite.
macos/Sources/Atrium/Views/Home/HomeWorkflowAction.swift:14,user,native application,rendered or emitted by the containing control or operation,Ask Atrium,None after audit.,Ask Atrium,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeWorkflowAction.swift:15,user,native application,rendered or emitted by the containing control or operation,Cited answers from meetings,None after audit.,Cited answers from meetings,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeWorkflowAction.swift:21,user,native application,rendered or emitted by the containing control or operation,Write with your voice,None after audit.,Write with your voice,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeWorkflowAction.swift:27,user,native application,rendered or emitted by the containing control or operation,Open meeting notes,None after audit.,Open meeting notes,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/Home/HomeWorkflowAction.swift:33,user,native application,rendered or emitted by the containing control or operation,Workspace and Company Hub,None after audit.,Workspace and Company Hub,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift,user,meeting detail,delete or transcription controls,speaker aliases from the local database | Retranscribe | transcript segments,Database and implementation terms were visible.,speaker names from Atrium | Transcribe again | transcript excerpts,verified,Replacement present in source; warnings-as-errors suite passed. Default Home and Ask insufficient-evidence states were inspected in the native app where applicable.
macos/Sources/Atrium/Views/MeetingDetailView.swift:100,user,native application,rendered or emitted by the containing control or operation,"This removes the meeting, transcript, summary, notes, and speaker names from Atrium. Recording files remain on this Mac.",None after audit.,"This removes the meeting, transcript, summary, notes, and speaker names from Atrium. Recording files remain on this Mac.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:108,user,native application,rendered or emitted by the containing control or operation,Share to hub,None after audit.,Share to hub,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:108,user,native application,rendered or emitted by the containing control or operation,Shared to hub,None after audit.,Shared to hub,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:119,user,native application,rendered or emitted by the containing control or operation,Share this meeting with the company.,None after audit.,Share this meeting with the company.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:120,user,native application,rendered or emitted by the containing control or operation,Connect the Company Hub to share a meeting. This meeting stays on this Mac.,None after audit.,Connect the Company Hub to share a meeting. This meeting stays on this Mac.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:128,user,native application,rendered or emitted by the containing control or operation,Meeting title,None after audit.,Meeting title,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:149,user,native application,rendered or emitted by the containing control or operation,Cancel transcription,None after audit.,Cancel transcription,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:153,user,native application,rendered or emitted by the containing control or operation,Transcribe again,None after audit.,Transcribe again,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:158,user,native application,rendered or emitted by the containing control or operation,Open Recording,None after audit.,Open Recording,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:163,user,native application,rendered or emitted by the containing control or operation,Delete Meeting,None after audit.,Delete Meeting,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:193,user,native application,rendered or emitted by the containing control or operation,Saved locally,None after audit.,Saved locally,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:199,user,native application,rendered or emitted by the containing control or operation,Recording paused,None after audit.,Recording paused,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:203,user,native application,rendered or emitted by the containing control or operation,Saved locally,None after audit.,Saved locally,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:265,user,native application,rendered or emitted by the containing control or operation,No transcript,None after audit.,No transcript,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:269,user,native application,rendered or emitted by the containing control or operation,Record or import audio to add a transcript.,None after audit.,Record or import audio to add a transcript.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:278,user,native application,rendered or emitted by the containing control or operation,Copy transcript,None after audit.,Copy transcript,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:280,user,native application,rendered or emitted by the containing control or operation,\($0): ,None after audit.,\($0): ,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:281,user,native application,rendered or emitted by the containing control or operation,[\(Self.timeLabel(segment.audioStartTime))] \(speaker)\(segment.text),None after audit.,[\(Self.timeLabel(segment.audioStartTime))] \(speaker)\(segment.text),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:325,user,native application,rendered or emitted by the containing control or operation,--:--,None after audit.,--:--,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:347,user,native application,rendered or emitted by the containing control or operation,Speaker name,None after audit.,Speaker name,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:431,user,native application,rendered or emitted by the containing control or operation,Additional summary instruction,None after audit.,Additional summary instruction,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:451,user,native application,rendered or emitted by the containing control or operation,Meeting notes,None after audit.,Meeting notes,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:87,user,native application,rendered or emitted by the containing control or operation,Loading meeting,None after audit.,Loading meeting,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingDetailView.swift:95,user,native application,rendered or emitted by the containing control or operation,Delete meeting,None after audit.,Delete meeting,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingNotesView.swift:12,user,native application,rendered or emitted by the containing control or operation,Meeting Notes,None after audit.,Meeting Notes,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingNotesView.swift:13,user,native application,rendered or emitted by the containing control or operation,"Open a saved conversation to review its transcript, summary, and working notes.",None after audit.,"Open a saved conversation to review its transcript, summary, and working notes.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingNotesView.swift:23,user,native application,rendered or emitted by the containing control or operation,No saved conversations,None after audit.,No saved conversations,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingNotesView.swift:25,user,native application,rendered or emitted by the containing control or operation,Record a meeting or import audio to start a local meeting record.,None after audit.,Record a meeting or import audio to start a local meeting record.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/MeetingNotesView.swift:75,user,native application,rendered or emitted by the containing control or operation,Meeting Notes,None after audit.,Meeting Notes,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift,user,onboarding,onboarding pages,Local meeting database | Explicit external evidence sharing | recall cited evidence | retrieval,"Database, retrieval, and evidence are internal terms.",Meeting data stays on this Mac | You choose when transcript excerpts leave this Mac | get cited answers | searches,verified,Replacement present in source; warnings-as-errors suite passed. Default Home and Ask insufficient-evidence states were inspected in the native app where applicable.
macos/Sources/Atrium/Views/OnboardingView.swift:114,user,native application,rendered or emitted by the containing control or operation,Current step,None after audit.,Current step,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:115,user,native application,rendered or emitted by the containing control or operation,Completed step,None after audit.,Completed step,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:115,user,native application,rendered or emitted by the containing control or operation,Upcoming step,None after audit.,Upcoming step,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:142,user,native application,rendered or emitted by the containing control or operation,One private workspace for every conversation,None after audit.,One private workspace for every conversation,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:151,user,native application,rendered or emitted by the containing control or operation,"Open, precise, human. Light workspace with navy identity.",None after audit.,"Open, precise, human. Light workspace with navy identity.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:158,user,native application,rendered or emitted by the containing control or operation,First Motive,None after audit.,First Motive,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:159,user,native application,rendered or emitted by the containing control or operation,"Grounded, technical, warm. Signature dark aubergine workspace.",None after audit.,"Grounded, technical, warm. Signature dark aubergine workspace.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:167,user,native application,rendered or emitted by the containing control or operation,"Midnight, frosted, focused. Dark workspace with violet identity.",None after audit.,"Midnight, frosted, focused. Dark workspace with violet identity.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:175,user,native application,rendered or emitted by the containing control or operation,This sets your workspace identity and theme. Change it any time in Settings.,None after audit.,This sets your workspace identity and theme. Change it any time in Settings.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:189,user,native application,rendered or emitted by the containing control or operation,Your workspace,None after audit.,Your workspace,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:190,user,native application,rendered or emitted by the containing control or operation,"Four ways to work, one place",None after audit.,"Four ways to work, one place",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/OnboardingView.swift:192,user,native application,rendered or emitted by the containing control or operation,"Everything below runs on this Mac. Meetings, transcripts, and notes are yours — the Company Hub only sees what you choose to share.",None after audit.,"Everything below runs on this Mac. Meetings, transcripts, and notes are yours — the Company Hub only sees what you choose to share.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
